:START_ID,:END_ID,:TYPE
e6030,e6551,发现
e6030,e10991,外文名
e6030,e11809,性质
e6030,e8786,特点
e1500,e7354,中文名
e1500,e8337,外文名
e1500,e3508,简称
e1500,e2321,类型
e2904,e2904,中文名
e2904,e7970,外文名
e6350,e9703,中文名
e6350,e6350,外文名
e6350,e9592,科属
e6350,e1582,类别
e5912,e5912,中文名
e5912,e8345,定义
e5912,e502,性质
e5912,e4666,特点
e7808,e7808,中文名
e7808,e7174,发现地点
e7808,e8093,发现日期
e7808,e10896,发现病例
e7808,e3096,外文名
e7808,e11492,死亡人数
e7808,e9095,症状类型
e8145,e5564,主要症状
e8145,e1339,传染性
e8145,e6665,是否进入医保
e8145,e5911,英文名称
e8465,e6707,中文名
e8465,e7488,基本参数
e8465,e96,基本组成
e8465,e8465,外文名
e8465,e8950,结构特点
e8465,e6835,重要性
e2487,e7082,厂商
e2487,e2487,外文名
e2487,e4015,解释1
e2487,e3156,解释2
e4886,e4886,中文名
e4886,e7297,位置
e4886,e8060,外文名
e4886,e4824,本质
e508,e9164,中文名
e508,e11043,发现时间
e508,e8060,外文名
e508,e11165,类型
e508,e8328,缩写
e508,e3588,领域
e1235,e1235,中文名
e1235,e2984,作用
e1235,e4528,分解
e1235,e2803,别称
e1235,e1491,外文名
e1235,e955,生成
e2080,e2080,中文名
e2080,e4317,分离
e2080,e9878,又称
e2080,e4119,外文名
e2080,e1171,年代
e2080,e3697,应用
e9671,e6793,中文名
e9671,e2038,作用
e9671,e6319,又名
e9671,e9671,外文名
e4298,e4298,中文名
e4298,e9602,作用
e4298,e5567,唯一能
e4298,e1580,外文名
e8598,e8598,中文名
e8598,e1664,外文名
e8598,e3961,类型
e8598,e3584,隶属
e7620,e7620,中文名
e7620,e4550,主要作用
e7620,e4097,主要存在
e7620,e7468,特性
e9991,e8151,中文名
e9991,e4433,别名
e9991,e11528,过敏表现
e10682,e10682,中文名
e10682,e1190,外文名
e10682,e4406,广泛用于
e10682,e11453,得到时间
e10682,e6990,得到者
e10682,e6149,领域
e6850,e6850,中文名
e6850,e8896,核苷酸数
e6850,e5088,特点
e6850,e3821,类别
e7980,e7980,中文名
e7980,e6032,发生地
e7980,e9094,外文名
e7980,e582,类型
e6857,e6857,中文名
e6857,e9110,别称
e6857,e11268,外文名
e6857,e6149,学科
e7292,e7292,中文名
e7292,e3153,分子量
e7292,e10805,别名
e7292,e10689,外文名
e2415,e6044,CAS登录号
e2415,e2415,中文名
e2415,e2541,分子量
e2415,e10170,化学式
e2415,e3958,熔点
e2415,e108,英文名
e9294,e9294,中文名
e9294,e11335,出现
e9294,e5918,又名
e9294,e9598,结构
e4705,e4705,中文名
e4705,e4557,别名
e4705,e11704,外文名
e4705,e514,实质
e5605,e7699,就诊科室
e5605,e10373,常见病因
e5605,e8054,常见症状
e10809,e10809,中文名
e10809,e1789,催化剂
e10809,e5553,含义
e10809,e2568,外文名
e10809,e7156,形式
e2672,e7423,中文名
e2672,e2672,别称
e2672,e2568,外文名
e2672,e3584,领域
e660,e660,中文名
e660,e1570,别称
e660,e2568,外文名
e660,e995,等级
e660,e1355,繁殖方式
e660,e10456,组成
e660,e6760,营养类型
e660,e3805,遗传物质
e11431,e11431,中文名
e11431,e4996,产生原因
e11431,e2568,外文名
e11431,e9369,定义
e11553,e11553,中文名
e11553,e11598,外文名
e11553,e4841,对象
e11553,e2620,所属
e8935,e8935,中文名
e8935,e10406,发现于
e8935,e913,外文名
e8935,e8549,属性
e2413,e3783,中国情况
e2413,e2413,中文名
e2413,e7158,主要涉及
e2413,e7006,含抗原种数
e2413,e11917,基因情况
e2413,e433,常识1
e2413,e9944,常识2
e2169,e2169,中文名
e2169,e8509,全名
e2169,e1124,实体
e2169,e3947,性质
e11186,e11186,中文名
e11186,e4807,别称
e11186,e4629,外文名
e11186,e3167,形状
e11186,e99,病症
e11186,e1490,种类
e8100,e3799,中文学名
e8100,e8100,别称
e8100,e6028,基因组
e8100,e3010,拉丁学名
e8100,e7885,界
e8100,e11668,病毒的直径
e8100,e10032,科
e9159,e9159,中文名
e9159,e8756,外文名
e9159,e1122,头部
e9159,e1865,奇偶型
e9159,e10910,形状
e6208,e6208,中文名
e6208,e8622,外文名
e6208,e11563,形状
e6208,e1726,性质
e6766,e6766,中文名
e6766,e4285,厂商
e6766,e8035,成绩
e6766,e7131,类别
e3382,e4969,中文名
e3382,e4070,含义
e3382,e3607,性质
e3382,e4862,造成
e4180,e4180,中文名
e4180,e1437,全称
e4180,e7098,分类
e4180,e571,功能
e4180,e302,外文名
e4180,e2775,种类组成
e4343,e450,Ti全称
e4343,e4343,中文名
e4343,e4000,提取生物
e4343,e5345,本质
e4343,e8312,特性
e5249,e5249,中文名
e5249,e1487,亚群
e5249,e2915,分布地区
e5249,e4192,外文名
e5249,e707,来源
e5249,e9799,标志
e10560,e3661,中文名
e10560,e7659,外文名
e10560,e285,性质
e10560,e10560,简称
e8538,e8538,中文名
e8538,e5849,得名
e8538,e1142,用途
e8538,e6710,类型
e8538,e2616,结果
e8538,e275,试验方法
e3605,e2360,中文名
e3605,e2542,关联病毒
e3605,e478,别名
e3605,e3605,外文名
e3605,e9493,影响领域
e3605,e6941,爆发时间
e9174,e9174,中文名
e9174,e1316,原本
e9174,e7064,地点
e9174,e426,外文名
e9174,e2373,散播
e1383,e1383,中文名
e1383,e3090,功用
e1383,e5587,外文名
e1383,e3938,性质
e1383,e3187,领域
e6615,e1323,用途分类
e6615,e6615,药品名称
e6615,e10268,药品类型
e4475,e4475,中文名
e4475,e8576,催化
e4475,e5257,关联基因
e4475,e7495,反转录
e4475,e10455,模板
e4475,e7653,特点
e6814,e37,中文名
e6814,e3540,外文名
e11196,e6428,中文名
e11196,e6428,外文名
e11196,e7814,特点
e11196,e6534,问世时间
e2983,e6470,RNA
e2983,e10970,RNA
e2983,e5573,RNA
e2983,e10920,RNA
e2983,e11282,RNA
e2983,e1618,RNA
e2626,e2626,中文名
e2626,e6600,分子式
e2626,e7578,外文名
e2626,e8233,类别
e5547,e5547,中文学名
e5547,e7819,拉丁学名
e5547,e10886,界
e5547,e10526,门
e8393,e8393,中文名
e8393,e7697,外文名
e8393,e1141,类型
e9231,e9231,中文名
e9231,e9584,作用机制
e9231,e6846,包括
e9231,e7697,外文名
e9231,e3622,特点
e9231,e1141,类型
e2716,e8185,ADI
e2716,e2998,C.I.
e2716,e10830,CNS号
e2716,e3103,INS号
e2716,e2716,中文名
e2716,e244,分子式
e2716,e6559,溶解度
e2716,e3854,熔点
e2716,e392,相对分子质量
e2716,e8091,闪点
e9243,e11027,pH
e9243,e9243,中文名
e9243,e7934,实质
e9243,e48,贮存包装
e9137,e9137,中文名
e9137,e11942,具体纲1
e9137,e12012,具体纲2
e9137,e4653,具体纲3
e1842,e1842,中文名
e1842,e7884,发现者
e1842,e4590,时间
e1842,e3584,领域
e9795,e9795,中文名
e9795,e1861,别名
e9795,e3667,反应速度
e9795,e3584,名词领域
e9795,e3018,外文名
e9795,e3634,本质
e5942,e10366,传播途径
e5942,e11073,传染性
e5942,e5263,就诊科室
e5942,e4237,常见病因
e5942,e11370,常见症状
e5942,e795,英文名称
e6820,e4021,中反应
e6820,e6820,中文名
e6820,e1918,弱反应
e6820,e6807,强反应
e11230,e10386,传播途径
e11230,e11073,传染性
e11230,e7573,多发群体
e11230,e5292,就诊科室
e11230,e3129,常见病因
e11230,e6150,英文名称
e4015,e4015,中文名
e4015,e11107,外文名
e4015,e1582,性质
e4015,e10476,职能
e5485,e2831,CAS登录号
e5485,e10053,EINECS登录号
e5485,e5485,中文名
e5485,e7103,分子量
e5485,e3861,别称
e5485,e4390,化学式
e5485,e3715,密度
e5485,e1043,沸点
e5485,e8829,熔点
e5485,e8984,英文名
e5485,e9395,闪点
e3600,e4345,传播途径
e3600,e1965,传染性
e3600,e9332,就诊科室
e3600,e382,常见发病部位
e3600,e4819,常见病因
e3600,e445,常见症状
e3600,e5211,英文名称
e10255,e5507,CAS号
e10255,e10255,中文名
e10255,e361,储存
e10255,e1810,分子式
e10255,e51,别名
e10255,e6882,化学品类别
e10255,e11545,外文名
e10255,e6018,相对分子质量
e10255,e10095,管制类型
e1377,e12005,CAS登录号
e1377,e10118,EINECS登录号
e1377,e1377,中文名
e1377,e9003,分子量
e1377,e1495,别称
e1377,e980,化学式
e1377,e1371,外观
e1377,e3564,应用
e1377,e11367,水溶性
e1377,e968,沸点
e1377,e10103,熔点
e1377,e4264,英文名
e1377,e9725,闪点
e2909,e1480,CAS
e2909,e2703,EINECS号
e2909,e6661,中文别名
e2909,e2909,中文名
e2909,e8545,储存
e2909,e2423,化学式
e2909,e2763,外文名
e2909,e3541,密度
e2909,e6443,水溶性
e2909,e5867,沸点
e2909,e11462,熔点
e2909,e965,相对分子质量
e2909,e5007,英文别名
e2909,e10088,蒸汽压
e2909,e1386,闪点
e11936,e1188,多发群体
e11936,e7699,就诊科室
e11936,e9143,常见病因
e11936,e1666,常见症状
e11936,e7670,英文名称
e5467,e5467,中文名
e5467,e5471,外文名
e5467,e7431,对象
e5467,e11747,比如
e5467,e11497,解释
e3813,e3813,中文名
e3813,e11490,别称
e3813,e5471,外文名
e3813,e9430,定义
e3813,e3367,特点
e6619,e6619,中文名
e6619,e2086,别称
e6619,e10285,来源
e6619,e11362,简介
e3796,e3796,中文名
e3796,e1327,原因
e3796,e5521,外文名
e3796,e2388,所属
e3796,e4638,无性繁殖
e3796,e9318,生长环境
e3548,e3548,中文名
e3548,e6723,作用
e3548,e1991,危害
e3548,e3479,定义
e3548,e563,所属菌落
e3548,e7028,特点
e7685,e2945,上级机构
e7685,e10604,中文名
e7685,e3140,外文名
e7685,e6605,官网
e7685,e2736,总部
e7685,e5713,成员国
e7685,e4686,成立时间
e7685,e5039,现任总领事
e7685,e8593,简称
e7685,e9145,类型
e7685,e11466,组织机构
e1387,e6038,传播途径
e1387,e11073,传染性
e1387,e356,别称
e1387,e11560,就诊科室
e1387,e6087,常见发病部位
e1387,e5351,常见病因
e1387,e2208,常见症状
e1387,e11107,英文名称
e8215,e8215,中文名
e8215,e3964,传播方式
e8215,e4150,外形
e8215,e2753,外文名
e8215,e6345,类型
e8215,e11775,组成
e8215,e4428,细胞培养系统
e8701,e8701,中文名
e8701,e753,别名
e8701,e11500,半衰期
e8701,e8635,外文名
e8701,e1006,相关
e8701,e8399,简称
e10466,e10466,中文名
e10466,e9181,外文名
e10466,e4236,途径
e998,e4641,CAS
e998,e7533,EINECS
e998,e7469,中文别名
e998,e998,中文名
e998,e9597,分子式
e998,e1441,分子量
e998,e5346,外文名
e6813,e6813,中文名
e6813,e932,分子式
e6813,e787,外文名
e5668,e5668,中文学名
e5668,e4144,属
e5668,e5801,拉丁学名
e5668,e7885,界
e5668,e8524,目
e5668,e3173,科
e10759,e9699,丝状硫细菌如
e10759,e10759,中文名
e10759,e5671,分布在
e10759,e2347,特征
e5638,e6115,传播途径
e5638,e11073,传染性
e5638,e1774,就诊科室
e5638,e8027,常见症状
e5638,e10158,英文名称
e415,e461,不良反应
e415,e2486,分子式
e415,e11891,分子量
e415,e4037,外文名称
e415,e1428,性状
e415,e415,药品名称
e1101,e3125,传播途径
e1101,e11073,传染性
e1101,e4980,别称
e1101,e7699,就诊科室
e1101,e418,常见病因
e1101,e3253,常见症状
e1101,e5316,英文名称
e759,e759,中医病名
e759,e1959,传播途径
e759,e11073,传染性
e759,e3068,就诊科室
e759,e11416,常见病因
e759,e7958,常见症状
e759,e9094,英文名称
e6869,e6869,中文名
e6869,e6335,外文名
e6869,e6373,性能
e6869,e4408,性质
e6869,e1700,目的
e1943,e1943,公司名称
e1943,e8881,公司类型
e1943,e1773,员工数
e1943,e5477,外文名称
e1943,e9819,官网
e1943,e3057,年营业额
e1943,e5158,总部地点
e1943,e4142,所属行业
e1943,e10297,所获荣誉
e1943,e8169,简称
e1943,e2353,经营范围
e1943,e9881,董事长
e1887,e1887,中文名
e1887,e4004,主要内容
e1887,e8578,又译成
e1887,e9236,外文名
e1887,e4113,提出人
e1887,e11043,提出时间
e1405,e9725,传染性
e1405,e6401,又称
e1405,e8119,英文别称
e1405,e2072,英文名称
e2524,e2524,中文名
e2524,e7834,主要构成
e2524,e4736,作用
e2524,e11758,外文名
e574,e6016,发病特征
e574,e3041,就诊科室
e574,e5734,常见症状
e574,e9725,是否传染
e574,e11376,能否治愈
e574,e11506,英文名
e9291,e4943,就诊科室
e9291,e5215,常见病因
e9291,e6914,常见症状
e9291,e2967,英文名称
e9530,e9530,中文名
e9530,e9929,作用
e9530,e3456,定义
e9530,e2499,目的
e8895,e8895,中文学名
e8895,e11772,亚门
e8895,e188,属
e8895,e7732,拉丁学名
e8895,e8000,目
e8895,e11316,科
e8895,e9134,纲
e10969,e6549,书名
e10969,e3578,作者
e10969,e1370,出版时间
e10969,e8596,出版社
e10068,e2995,中文名
e10068,e2311,二级学科数
e10068,e2474,代表色
e10068,e743,外文名
e10068,e3990,学位
e10068,e7802,学历
e10068,e3662,学科代码
e9948,e9948,中文名
e9948,e148,学科
e9948,e10429,对象
e9948,e4930,类型
e9948,e3891,范畴
e8036,e8036,中文名
e8036,e10140,外文名
e8036,e1218,定义
e8036,e10418,属性
e8036,e7157,形态
e8036,e6517,科属
e2467,e2467,中文名
e2467,e8504,主要用于
e2467,e4907,也称
e2467,e4885,外文名
e6339,e6339,中文学名
e6339,e3511,态势
e6339,e3897,拉丁学名
e6339,e7885,界
e6339,e8575,组成
e6482,e6482,中文名
e6482,e10453,危害
e6482,e1597,外形
e6482,e10623,寄生
e6482,e556,属于
e6482,e6996,特点
e4891,e547,就诊科室
e4891,e9732,常见病因
e4891,e11779,常见症状
e4891,e11924,英文名称
e8425,e855,多发群体
e8425,e2279,就诊科室
e8425,e11107,英文名称
e4977,e4977,中文名
e4977,e11107,外文名
e4977,e1518,常用检测
e4977,e6665,是否传染
e4977,e1582,类型
e4977,e472,缩写
e9224,e9224,中文名
e9224,e11098,包括
e9224,e6348,外文名
e9224,e4349,禁忌症
e5352,e5352,中医病名
e5352,e4347,常见发病部位
e5352,e3670,常见症状
e5352,e7992,英文名称
e855,e855,中文名
e855,e5899,全身症状
e855,e5905,实质
e855,e6833,消化道症状
e4146,e2329,别称
e4146,e3746,就诊科室
e4146,e7290,常见病因
e4146,e11107,英文名称
e2025,e2006,不良反应
e2025,e3198,主要用药禁忌
e2025,e11760,主要适用症
e2025,e11107,外文名称
e2025,e3371,用法用量
e2025,e2025,药品名称
e2664,e2664,中文名
e2664,e11297,出现情况
e2664,e4715,发生原因
e2664,e647,导致
e10868,e10868,中文名
e10868,e11018,作用
e10868,e5967,别称
e10868,e3419,诱导
e1565,e1565,中文名
e1565,e6229,作用对象
e1565,e1901,出现标志
e1565,e3104,又称
e1565,e7992,外文名
e1565,e857,抗体类型
e8142,e3826,主要病因
e8142,e5602,传播途径
e8142,e1339,传染性
e8142,e11392,发病部位
e8142,e1109,多发群体
e8142,e4943,所属科室
e11934,e9182,不良反应
e11934,e5417,主要适用症
e11934,e10268,是否处方药
e11934,e11934,药品名称
e11934,e7562,药品类型
e6261,e6261,中文名
e6261,e4344,发现时间
e6261,e9809,国家
e6261,e6348,外文名
e642,e642,中文名
e642,e644,外文名
e642,e2912,性质
e642,e4120,简称
e642,e1013,说明
e4478,e4478,中文名
e4478,e4579,外文名
e4478,e3011,存在地方
e4478,e7309,意义
e4478,e2592,缩写
e8517,e9725,传染性
e8517,e8460,就诊科室
e8517,e246,常见发病部位
e8517,e3859,常见病因
e8517,e7704,常见症状
e8330,e8330,中文名
e8330,e8541,原理
e8330,e11487,技术
e8330,e4562,提出
e10677,e10677,中文学名
e10677,e11384,分布
e10677,e2367,别称
e10677,e7867,属
e10677,e8367,拉丁学名
e10677,e10886,界
e10677,e5661,纲
e10677,e10917,英文名称
e10677,e10184,门
e7867,e7867,中文学名
e7867,e7867,属
e7867,e5661,纲
e7867,e10184,门
e10148,e10148,中文名
e10148,e11159,外文名
e10148,e5252,性状
e10148,e11352,成份
e10148,e3699,用途分类
e10148,e5145,药品类型
e8357,e8357,中文学名
e8357,e8357,属
e8357,e4689,拉丁学名
e8357,e10886,界
e3077,e10511,pI
e3077,e3077,中文名
e3077,e676,分子量
e3077,e8231,氨基酸
e9801,e9801,中文名
e9801,e9642,属于
e9801,e6587,相关学说
e9801,e9933,组成
e3906,e6930,多发群体
e3906,e608,就诊科室
e3906,e5498,常见病因
e3906,e7378,常见症状
e3906,e7502,英文名称
e8277,e835,中医病名
e8277,e6395,多发群体
e8277,e8121,就诊科室
e8277,e3921,常见病因
e8277,e80,常见症状
e8277,e9765,英文名称
e1658,e8947,主要适用症
e1658,e42,别名
e1658,e4227,外文名称
e1658,e62,是否处方药
e1658,e4307,用法用量
e1658,e1658,药品名称
e4602,e4602,中文名
e4602,e10883,外文名
e4602,e3374,类型
e4602,e8540,解释
e595,e595,中文学名
e595,e7867,属
e595,e10886,界
e595,e8339,目
e595,e8308,科
e595,e5661,纲
e595,e10184,门
e2367,e2367,中文学名
e2367,e3372,代谢类型
e2367,e9146,属
e2367,e10886,界
e2367,e8339,目
e2367,e8308,科
e2367,e5661,纲
e2367,e10184,门
e3051,e499,EINECS
e3051,e3051,中文名称
e3051,e4175,分子式
e3051,e956,分子量
e3051,e389,别称
e3051,e516,英文别名
e653,e653,中文名
e653,e4446,分子量
e653,e9207,功能
e653,e978,发现时间
e653,e9196,外文名
e653,e11724,类别
e3317,e3317,中文学名
e3317,e556,属
e3317,e11360,拉丁学名
e3317,e10886,界
e3317,e8339,目
e3317,e3317,种
e3317,e10863,科
e3317,e5661,纲
e3317,e10184,门
e7135,e7135,中文名
e7135,e2816,别称
e7135,e9776,外文名
e7135,e9668,存在
e7135,e11410,类型
e8132,e8132,中文名
e8132,e7992,外文名
e8132,e6906,用途
e8132,e524,解释
e3865,e1469,传播途径
e3865,e11073,传染性
e3865,e11851,就诊科室
e3865,e6454,常见发病部位
e3865,e4819,常见病因
e3865,e10490,常见症状
e3865,e2023,英文名称
e7391,e9363,CAS登录号
e7391,e7391,中文名
e7391,e10375,分子量
e7391,e5107,别称
e7391,e3433,化学式
e7391,e7978,密度
e7391,e4780,熔点
e7391,e3054,相对密度
e7391,e5449,英文名
e1140,e1140,中文名
e1140,e1811,发明人
e1140,e114,发现时间
e1140,e1623,外文名
e2679,e4850,多发群体
e2679,e6582,常见发病部位
e2679,e7170,常见病因
e2679,e5685,常见症状
e2679,e4313,英文名称
e11754,e9628,中文名
e11754,e1788,主要成就
e11754,e3500,代表作品
e11754,e520,出生日期
e11754,e5330,国籍
e11754,e6697,外文名
e11754,e264,毕业院校
e11754,e7663,民族
e11754,e8156,籍贯
e11754,e211,职务
e10950,e10950,中文名
e10950,e10008,主要成就
e10950,e310,代表作品
e10950,e390,出生日期
e10950,e5330,国籍
e10950,e9223,籍贯
e6126,e6126,中文名
e6126,e11453,提出时间
e6126,e10212,提出者
e6126,e5856,最初原形
e2473,e2473,别称
e2473,e10908,英文名称
e2125,e2125,中文名
e2125,e6708,主要成就
e2125,e3160,出生地
e2125,e10120,出生日期
e2125,e1099,国籍
e2125,e1562,外文名
e2125,e8518,毕业院校
e2125,e8140,研究领域
e2125,e2239,逝世地
e2125,e545,逝世日期
e10891,e3722,别称
e10891,e10770,就诊科室
e10891,e2368,常见发病部位
e10891,e9085,常见病因
e10891,e6390,常见症状
e2764,e2764,中文名
e2764,e5935,化学式
e2764,e5706,外文名
e2764,e5298,性质
e2764,e9451,氧化性
e2764,e9622,酸性强度
e11635,e11635,中文名
e11635,e5330,发现国家
e11635,e10931,发现时间
e11635,e4990,属性
e3476,e3476,中文名
e3476,e9379,包括
e3476,e9230,外文名
e3476,e9379,类别
e3476,e7989,结构
e11974,e11974,中文名
e11974,e1737,分子量
e11974,e8353,别称
e11974,e1829,化学式
e11974,e11287,危险品运输编号
e11974,e11050,英文名
e4812,e4812,中文名
e4812,e6854,功能
e4812,e5571,外文名
e4812,e2921,隶属
e9721,e6795,CAS登录号
e9721,e6022,EINECS登录号
e9721,e9721,中文名
e9721,e5393,分子量
e9721,e4181,别称
e9721,e11393,化学式
e9721,e10238,外观
e9721,e4278,密度
e9721,e9406,应用
e9721,e7993,英文名
e9721,e2537,酸性
e6227,e6227,中文名
e6227,e3552,别称
e6227,e4976,外文名
e6227,e710,应用
e3029,e3029,中文名
e3029,e7939,举例
e3029,e10658,含义
e3029,e8570,外文名
e7692,e4215,传播途径
e7692,e547,就诊科室
e7692,e8570,英文名称
e253,e253,中文学名
e253,e9554,别称
e253,e1360,存在于
e253,e557,属
e253,e10886,界
e4966,e4966,中文名
e4966,e411,作用
e4966,e7618,分解
e4966,e10597,又称
e4966,e9554,外文名
e4966,e10870,病原菌
e9932,e9932,中文学名
e9932,e10345,拉丁学名
e9932,e10886,界
e9932,e5229,目
e9932,e827,纲
e9932,e9932,门
e2769,e3139,三界学说
e2769,e2769,中文名
e2769,e8740,包括
e2769,e7563,发现时间
e7701,e7701,中文学名
e7701,e1932,拉丁学名
e7701,e309,界
e7701,e4485,门
e3963,e3963,中文名
e3963,e2705,外文名
e3963,e11958,形状
e3963,e9434,直径
e2136,e8460,就诊科室
e2136,e4403,常见病因
e2136,e4563,常见症状
e2136,e11890,英文名称
e1858,e3446,别称
e1858,e8004,就诊科室
e1858,e9965,常见病因
e1858,e9719,常见症状
e6441,e6441,中文学名
e6441,e6672,别称
e6441,e5243,包括
e6441,e10886,界
e7755,e7755,中文名
e7755,e5078,分布
e7755,e11078,分类
e7755,e10142,功能
e7755,e9377,外文名
e7755,e1629,属性
e4540,e4540,中文名
e4540,e3067,含义
e4540,e4272,提取方法
e4540,e1817,类型
e5631,e1542,中医学名
e5631,e10017,主要症状
e5631,e1339,传染性
e5631,e8976,其他名称
e5631,e9610,多发群体
e5631,e4943,所属科室
e5631,e2874,英文名称
e5631,e1542,西医学名
e4831,e2194,主要病因
e4831,e5900,主要症状
e4831,e731,传播途径
e4831,e1339,传染性
e4831,e8624,发病部位
e4831,e866,所属科室
e4831,e2874,英文名称
e4831,e4831,西医学名
e5875,e5875,中文名
e5875,e5529,外文名
e5875,e4183,构成
e11521,e11521,中文名
e11521,e2874,外文名
e11521,e11735,属性
e11521,e9486,性质
e11521,e6329,特征
e11589,e11589,中文名
e11589,e8871,发生特征
e11589,e3467,外文名
e11589,e5408,特点
e11589,e416,释义
e5970,e5970,中文名
e5970,e5611,外文名
e5970,e8601,意义
e5970,e4357,类型
e8457,e8457,中文名
e8457,e311,外文名
e8457,e511,应用于
e8457,e1792,根据
e8457,e4288,目的
e2166,e2166,中文名
e2166,e10686,分子手术刀
e2166,e579,分子缝合针
e2166,e8218,工具
e2166,e8077,类型
e2166,e7264,载体
e5239,e5239,中文名
e5239,e6503,作用
e5239,e3111,保护时间
e5239,e5611,外文名
e1145,e1145,中文名
e1145,e5611,外文名
e1145,e12010,属性
e1145,e3520,性质
e3848,e3848,中文名
e3848,e8060,外文名
e3848,e1582,实质
e3848,e7806,宿主
e3848,e2995,所属学科
e4915,e3395,传播途径
e4915,e11073,传染性
e4915,e8137,别称
e4915,e11698,多发群体
e4915,e547,就诊科室
e4915,e2799,常见病因
e4915,e9028,常见症状
e4915,e97,英文别名
e4915,e3897,英文名称
e5816,e5816,中文名
e5816,e7236,优点
e5816,e9503,区域
e5816,e9847,外文名
e5816,e159,类别
e8694,e1606,中文学名
e8694,e98,亚门
e8694,e674,界
e8694,e9656,目
e8694,e5244,科
e8694,e662,纲
e8694,e2308,门
e3336,e3336,中文名
e3336,e6082,传染病
e3336,e804,外文名
e3336,e824,寄生虫病
e3336,e3609,种类
e2858,e4597,中文名
e2858,e1070,作用
e2858,e3254,分类
e2858,e4937,发明时期
e2099,e2099,中文学名
e2099,e5116,分布区域
e2099,e10702,别称
e2099,e8060,拉丁学名
e2099,e7885,界
e2099,e660,科
e2531,e2531,中文名
e2531,e3550,参与国家
e2531,e2874,外文名
e2531,e3524,提出时间
e2531,e2122,简称
e7273,e7273,中文名
e7273,e3555,原理
e7273,e6704,特性
e7273,e7381,血型类型
e10599,e8050,ISBN
